last_week_value,dayofweek,year,dayofyear,weekofyear,dayofmonth,last_week_sum,yesterday_number,month
6,0,2019,182,27,1,131,19.0,7
6,1,2019,183,27,2,137,12.0,7
17,2,2019,184,27,3,150,19.0,7
12,3,2019,185,27,4,146,13.0,7
37,4,2019,186,27,5,154,20.0,7
34,5,2019,187,27,6,144,27.0,7
19,6,2019,188,27,7,149,39.0,7
12,0,2019,189,28,8,146,16.0,7
19,1,2019,190,28,9,143,9.0,7
13,2,2019,191,28,10,137,13.0,7
20,3,2019,192,28,11,137,13.0,7
27,4,2019,193,28,12,132,15.0,7
39,5,2019,194,28,13,129,24.0,7
16,6,2019,195,28,14,123,33.0,7
9,0,2019,196,29,15,126,19.0,7
13,1,2019,197,29,16,127,10.0,7
13,2,2019,198,29,17,127,13.0,7
15,3,2019,199,29,18,123,9.0,7
24,4,2019,200,29,19,127,19.0,7
33,5,2019,201,29,20,134,31.0,7
19,6,2019,202,29,21,134,33.0,7
10,0,2019,203,30,22,131,16.0,7
13,1,2019,204,30,23,131,10.0,7
9,2,2019,205,30,24,129,11.0,7
19,3,2019,206,30,25,128,8.0,7
31,4,2019,207,30,26,129,20.0,7
33,5,2019,208,30,27,126,28.0,7
16,6,2019,209,30,28,135,42.0,7
10,0,2019,210,31,29,142,23.0,7
11,1,2019,211,31,30,140,8.0,7
8,2,2019,212,31,31,145,16.0,7
20,3,2019,213,31,1,143,6.0,8
28,4,2019,214,31,2,140,17.0,8
42,5,2019,215,31,3,137,25.0,8
